723-85-8865,07/09/15,68,quis orci nullam molestie nibh in lectus pellentesque at nulla suspendisse potenti cras in purus, Other 
400-52-2389,4/17/2015,1,sit amet sapien dignissim vestibulum vestibulum ante ipsum primis in faucibus orci luctus et ultrices, Other 
821-11-2735,01/02/15,86,erat volutpat in congue etiam justo etiam pretium iaculis justo in hac habitasse platea dictumst etiam faucibus cursus urna, Other 
288-59-8593,07/05/15,64,morbi quis tortor id nulla ultrices aliquet maecenas leo odio condimentum id luctus, Neglect 
838-11-7607,7/14/2015,22,in hac habitasse platea dictumst morbi vestibulum velit id pretium, Other 
428-17-3887,2/19/2015,30,consequat morbi a ipsum integer a nibh in quis justo maecenas rhoncus aliquam lacus morbi quis tortor id nulla ultrices, Perceived Physical Condition 
484-37-1068,5/23/2015,65,volutpat erat quisque erat eros viverra eget congue eget semper rutrum nulla nunc, Neglect 
420-54-7482,01/07/15,49,rutrum neque aenean auctor gravida sem praesent id massa id nisl venenatis lacinia aenean sit amet justo morbi ut odio, Other 
529-97-6193,02/01/15,59,habitasse platea dictumst maecenas ut massa quis augue luctus tincidunt nulla mollis molestie lorem, Other 
581-26-5472,05/01/15,41,eget elit sodales scelerisque mauris sit amet eros suspendisse accumsan tortor quis turpis sed, Other 
349-76-9672,7/18/2015,54,ultrices enim lorem ipsum dolor sit amet consectetuer adipiscing elit proin interdum mauris non ligula pellentesque, Perceived Physical Condition 
989-68-4793,12/31/2014,7,eget eleifend luctus ultricies eu nibh quisque id justo sit amet sapien, Acute Distress
307-09-8719,5/25/2015,76,non lectus aliquam sit amet diam in magna bibendum imperdiet nullam orci pede venenatis non sodales sed tincidunt eu felis, Perceived Physical Condition 
797-43-7696,07/06/15,85,nec condimentum neque sapien placerat ante nulla justo aliquam quis turpis eget elit sodales scelerisque mauris sit, Other 
220-62-1837,01/06/15,5,quam sapien varius ut blandit non interdum in ante vestibulum ante, Other 
723-85-8865,07/11/15,76,fusce lacus purus aliquet at feugiat non pretium quis lectus suspendisse potenti in, Perceived Physical Condition 
620-83-1546,1/17/2015,61,libero quis orci nullam molestie nibh in lectus pellentesque at nulla suspendisse potenti cras in purus eu, Other 
378-88-6858,3/29/2015,48,luctus et ultrices posuere cubilia curae nulla dapibus dolor vel est donec odio justo sollicitudin ut suscipit a feugiat, Neglect 
595-90-8809,3/30/2015,21,sed vel enim sit amet nunc viverra dapibus nulla suscipit ligula in lacus curabitur at ipsum ac tellus semper interdum,Other 
556-65-1110,1/14/2015,3,convallis nulla neque libero convallis eget eleifend luctus ultricies eu nibh quisque id justo sit amet sapien dignissim, Perceived Physical Condition 
770-22-6561,4/24/2015,65,vulputate vitae nisl aenean lectus pellentesque eget nunc donec quis orci eget orci, Other 
627-79-5997,4/14/2015,43,libero nam dui proin leo odio porttitor id consequat in consequat ut nulla sed accumsan felis ut at dolor, Other 
330-07-1068,5/19/2015,87,velit nec nisi vulputate nonummy maecenas tincidunt lacus at velit vivamus vel nulla eget eros elementum pellentesque quisque, Neglect 
801-38-9691,6/18/2015,57,augue a suscipit nulla elit ac nulla sed vel enim sit amet nunc viverra dapibus, Other 
122-24-4317,02/10/15,4,habitasse platea dictumst etiam faucibus cursus urna ut tellus nulla ut erat id mauris vulputate elementum nullam varius nulla, Neglect 
932-97-4077,04/05/15,52,odio cras mi pede malesuada in imperdiet et commodo vulputate justo in blandit ultrices enim, Deprivation 
979-94-2467,12/30/2014,63,ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae nulla dapibus dolor vel est, Other 
253-58-9660,06/05/15,22,felis sed interdum venenatis turpis enim blandit mi in porttitor pede justo eu massa donec dapibus, Neglect 
664-34-9245,06/04/15,76,sapien dignissim vestibulum vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia, Other 
506-14-4016,07/07/15,2,suspendisse potenti cras in purus eu magna vulputate luctus cum, Other 
513-35-3310,6/27/2015,93,volutpat quam pede lobortis ligula sit amet eleifend pede libero quis orci nullam, Neglect 
627-15-0737,5/29/2015,87,sit amet sapien dignissim vestibulum vestibulum ante ipsum primis in faucibus orci luctus et ultrices, Other 
252-29-4929,07/11/15,84,lectus pellentesque eget nunc donec quis orci eget orci vehicula condimentum curabitur, Other 
873-29-2620,06/02/15,56,turpis integer aliquet massa id lobortis convallis tortor risus dapibus augue vel accumsan tellus nisi eu, Perceived Physical Condition 
729-58-5518,5/14/2015,100,vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae duis faucibus accumsan odio curabitur, Other 
791-62-3536,04/06/15,76,vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae mauris viverra, Other 
400-52-2389,7/16/2015,79,pharetra magna ac consequat metus sapien ut nunc vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia, Other 
821-11-2735,02/09/15,48,accumsan tellus nisi eu orci mauris lacinia sapien quis libero, Deprivation 
288-59-8593,2/16/2015,23,bibendum felis sed interdum venenatis turpis enim blandit mi in porttitor pede justo eu massa donec dapibus duis at velit, Neglect 
838-11-7607,02/11/15,77,quis augue luctus tincidunt nulla mollis molestie lorem quisque ut erat curabitur gravida, Other 
428-17-3887,3/25/2015,35,eros suspendisse accumsan tortor quis turpis sed ante vivamus tortor duis mattis, Other 
484-37-1068,5/27/2015,70,tincidunt nulla mollis molestie lorem quisque ut erat curabitur gravida nisi at nibh in hac habitasse platea dictumst, Neglect 
420-54-7482,07/05/15,96,viverra diam vitae quam suspendisse potenti nullam porttitor lacus at turpis donec posuere metus vitae ipsum aliquam non mauris, Other 
529-97-6193,1/18/2015,67,ac consequat metus sapien ut nunc vestibulum ante ipsum primis in, Other 
581-26-5472,06/02/15,55,nulla ultrices aliquet maecenas leo odio condimentum id luctus nec molestie sed justo pellentesque, Neglect 
349-76-9672,5/18/2015,94,ipsum ac tellus semper interdum mauris ullamcorper purus sit amet, Perceived Physical Condition 
989-68-4793,1/30/2015,67,donec posuere metus vitae ipsum aliquam non mauris morbi non lectus aliquam sit amet diam, Other 
307-09-8719,03/03/15,96,non velit donec diam neque vestibulum eget vulputate ut ultrices vel, Neglect 
797-43-7696,04/11/15,27,vivamus metus arcu adipiscing molestie hendrerit at vulputate vitae nisl aenean, Deprivation 
220-62-1837,3/15/2015,19,quis justo maecenas rhoncus aliquam lacus morbi quis tortor id nulla ultrices aliquet,Other 
723-85-8865,6/16/2015,4,maecenas tristique est et tempus semper est quam pharetra magna ac, Other 
620-83-1546,5/21/2015,62,nam nulla integer pede justo lacinia eget tincidunt eget tempus vel pede morbi porttitor lorem id ligula, Other 
378-88-6858,3/20/2015,59,sed tincidunt eu felis fusce posuere felis sed lacus morbi sem mauris laoreet, Other 
595-90-8809,01/11/15,69,eros vestibulum ac est lacinia nisi venenatis tristique fusce congue diam id ornare imperdiet sapien urna pretium nisl ut, Abuse 
556-65-1110,02/06/15,41,maecenas rhoncus aliquam lacus morbi quis tortor id nulla ultrices aliquet maecenas leo odio, Perceived Physical Condition 
770-22-6561,5/18/2015,89,nibh in quis justo maecenas rhoncus aliquam lacus morbi quis tortor id nulla ultrices aliquet maecenas leo odio condimentum, Neglect 
627-79-5997,5/17/2015,43,lacus morbi sem mauris laoreet ut rhoncus aliquet pulvinar sed nisl nunc rhoncus dui vel sem sed sagittis nam, Other 
330-07-1068,01/04/15,30,curae nulla dapibus dolor vel est donec odio justo sollicitudin ut suscipit a feugiat et eros vestibulum ac est lacinia, Other 
801-38-9691,05/01/15,28,habitasse platea dictumst aliquam augue quam sollicitudin vitae consectetuer eget rutrum at lorem integer tincidunt ante vel ipsum praesent blandit, Other 
122-24-4317,1/31/2015,8,vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae duis faucibus accumsan odio curabitur convallis, Other 
